id	question	gold	prediction	ged	normalized_exact_match
NLVR2_train_train-11100-3-0	If the left and right image contains the same number of combat golf balls.	left image @@SEP@@ right image @@SEP@@ combat golf balls in @@1@@ @@SEP@@ combat golf balls in @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is equal to @@6@@	the left image @@SEP@@ the right image @@SEP@@ combat golf balls in @@1@@ @@SEP@@ combat golf balls in @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ sum of @@5@@ and @@6@@ @@SEP@@ if @@7@@ is equal to combat golf balls @@SEP@@ if both @@4@@ and @@8@@ are true	0.34798534798534797	False
ATIS_train_1873	show me all all flights from pittsburgh to atlanta on wednesday which leave before noon and serve breakfast 	flights @@SEP@@ @@1@@ from pittsburgh @@SEP@@ @@2@@ to atlanta @@SEP@@ @@3@@ on wednesday @@SEP@@ @@4@@ that leave before noon @@SEP@@ @@5@@ which serve breakfast	flights @@SEP@@ @@1@@ from pittsburgh @@SEP@@ @@2@@ to atlanta @@SEP@@ @@3@@ that leave before noon and serve breakfast	0.4265734265734266	False
CLEVR_train_7357	How many pyramid shapes are there?	pyramid shapes @@SEP@@ number of @@1@@	pyramid shapes @@SEP@@ number of @@1@@	0.0	True
CLEVR_train_3402	What object is in the back of the frame?	objects @@SEP@@ @@1@@ that is in the back of the frame	object @@SEP@@ @@1@@ that is in the back of the frame @@SEP@@ object @@SEP@@ @@1@@ that is in the back of the frame	0.5	True
NLVR2_train_train-4192-0-0	If there is a single panda sitting in the grass in the image on the left.	image on the left @@SEP@@ pandas in @@1@@ @@SEP@@ the grass @@SEP@@ @@2@@ sitting in @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is equal to one	the image on the left @@SEP@@ pandas in @@1@@ @@SEP@@ grass in @@1@@ @@SEP@@ if @@2@@ is in grass in @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is in grass in @@3@@	0.2812674504982197	False
NLVR2_train_train-13014-1-1	If there are more animals in the image on the right than in the image on the left.	right image @@SEP@@ left image @@SEP@@ animals of @@1@@ @@SEP@@ animals of @@2@@ @@SEP@@ the number of @@3@@ @@SEP@@ the number of @@4@@ @@SEP@@ if @@5@@ is higher than @@6@@	the image on the right @@SEP@@ animals @@SEP@@ @@2@@ in @@1@@ @@SEP@@ @@2@@ besides @@3@@ @@SEP@@ the number of @@3@@ @@SEP@@ the number of @@4@@ @@SEP@@ if @@5@@ is higher than @@6@@	0.29370370370370374	False
SPIDER_train_2973	Return the titles of any movies with an R rating.	movies @@SEP@@ @@1@@ with rating R @@SEP@@ titles of @@2@@	movies @@SEP@@ @@1@@ that have an R rating @@SEP@@ the titles of @@2@@	0.12222222222222223	False
ATIS_train_623	which united airlines flights go through denver 	flights @@SEP@@ @@1@@ on united airlines @@SEP@@ @@2@@ that go through denver	flights @@SEP@@ @@1@@ on united airlines @@SEP@@ @@2@@ on united airlines @@SEP@@ @@3@@ on united airlines @@SEP@@ @@4@@ on united airlines @@SEP@@ @@5@@ on united airlines @@SEP@@ @@6@@ on united airlines @@SEP@@ @@7@@ on united airlines @@SEP@@ @@8@@ on united airlines @@SEP@@ @@9@@ on united airlines @@SEP@@ @@10@@ on united airlines @@SEP@@ @@11@@ on united airlines @@SEP@@ @@12@@ on united airlines @@SEP@@ @@13@@ on united airlines @@SEP@@ @@14@@ on united airlines @@SEP@@ @@15@@ on united airlines @@SEP@@ @@16@@ on united airlines @@SEP@@ @@17@@ on united airlines @@SEP@@ @@18@@ on united airlines @@SEP@@ @@19@@ on united airlines @@SEP@@ @@20@@ on united airlines @@SEP@@ @@21@@ on united airlines @@SEP@@ @@22@@ on united airlines @@SEP@@ @@23@@ on united airlines @@SEP@@ @@24@@ on united airlines @@SEP@@ @@25@@ on united airlines @@SEP@@ @@26@@ on united airlines @@SEP@@ @@27@@ on united airlines @@SEP@@ @@28@@ on united airlines @@SEP@@ @@29@@ on united airlines @@SEP@@ @@30@@ on united airlines @@SEP@@ @@31@@ on united airlines @@SEP@@ @@32@@ on united airlines @@SEP@@ @@33@@ on united airlines @@SEP@@ @@34@@ on united airlines @@SEP@@ @@35@@ on united airlines @@SEP@@ @@36@@ on united airlines @@SEP@@ @@37@@ on united airlines @@SEP@@ @@38@@ on united airlines @@SEP@@ @@39@@ on united airlines @@SEP@@ @@40@@ on united airlines @@SEP@@ @@41@@ on united airlines @@SEP@@ @@42@@ on united airlines @@SEP@@ @@43@@ on united airlines @@SEP@@ @@44@@ on united airlines @@SEP@@ @@45@@ on united airlines @@SEP@@ @@46@@ on united airlines @@SEP@@ @@47@@ on united airlines @@SEP@@ @@48@@ on united airlines @@SEP@@ @@49@@ on united airlines @@SEP@@ @@50@@ on united airlines @@SEP@@ @@51@@ on united airlines @@SEP@@ @@52@@ on united airlines @@SEP@@ @@53@@ on united airlines @@SEP@@ @@54@@ on united airlines @@SEP@@ @@55@@ on united airlines @@SEP@@ @@56@@ on	0.9613837489943685	False
CWQ_train_WebQTrn-1689_a3b28063f6e86f074de64b6e1260fcfe	In what years did the artist nominated for the Khloe & Lamar award play for the Clippers?	artists @@SEP@@ @@1@@ who nominated for Khloe & Lamar @@SEP@@ years that @@2@@ play for the Clippers	years @@SEP@@ @@1@@ that Lamar Odom play @@SEP@@ @@2@@ that are for the Clippers @@SEP@@ @@3@@ that are before 2002	0.5068027210884354	False
ATIS_train_2081	northwest flights with stops in denver 	flights @@SEP@@ @@1@@ on northwest @@SEP@@ @@2@@ with stops in denver	flights @@SEP@@ @@1@@ on northwest @@SEP@@ @@2@@ with stops in denver	0.0	True
CLEVR_train_3058	Are the small objects the same material as the big things?	small objects @@SEP@@ big things @@SEP@@ material of @@1@@ @@SEP@@ material of @@2@@ @@SEP@@ is @@3@@ the same as @@4@@	small objects @@SEP@@ big things @@SEP@@ materials of @@1@@ @@SEP@@ material of @@2@@ @@SEP@@ are all of @@3@@ the same as @@4@@	0.013888888888888888	True
