ged	gold	id	normalized_exact_match	prediction	question
0.04395604395604396	left image @@SEP@@ right image @@SEP@@ combat golf balls in @@1@@ @@SEP@@ combat golf balls in @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is equal to @@6@@	NLVR2_train_train-11100-3-0	False	the left image @@SEP@@ the right image @@SEP@@ combat golf balls in @@1@@ @@SEP@@ combat golf balls in @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is equal to @@6@@	If the left and right image contains the same number of combat golf balls.
0.15384615384615385	flights @@SEP@@ @@1@@ from pittsburgh @@SEP@@ @@2@@ to atlanta @@SEP@@ @@3@@ on wednesday @@SEP@@ @@4@@ that leave before noon @@SEP@@ @@5@@ which serve breakfast	ATIS_train_1873	False	flights @@SEP@@ @@1@@ from pittsburgh @@SEP@@ @@2@@ to atlanta @@SEP@@ @@3@@ on wednesday @@SEP@@ @@4@@ that leave before noon @@SEP@@ @@5@@ which serve breakfast @@SEP@@ @@6@@ that are all nonstop	show me all all flights from pittsburgh to atlanta on wednesday which leave before noon and serve breakfast 
0.9977591036414566	pyramid shapes @@SEP@@ number of @@1@@	CLEVR_train_7357	False	the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the pyramid shapes @@SEP@@ the	How many pyramid shapes are there?
0.0	objects @@SEP@@ @@1@@ that is in the back of the frame	CLEVR_train_3402	True	objects @@SEP@@ @@1@@ that is in the back of the frame	What object is in the back of the frame?
None	image on the left @@SEP@@ pandas in @@1@@ @@SEP@@ the grass @@SEP@@ @@2@@ sitting in @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is equal to one	NLVR2_train_train-4192-0-0	False	panda @@SEP@@ @@1@@ that is sitting in the grass @@SEP@@ @@1@@ that is in the grass @@SEP@@ @@3@@ that is in the grass @@SEP@@ @@2@@ that is in the grass @@SEP@@ @@4@@ that is in the grass @@SEP@@ @@5@@ that is in the grass @@SEP@@ @@6@@ that is in the grass @@SEP@@ @@7@@ that is in the grass @@SEP@@ @@8@@ that is in the grass @@SEP@@ @@9@@ that is in the grass @@SEP@@ @@10@@ that is in the grass @@SEP@@ @@11@@ that is in the grass @@SEP@@ @@12@@ that is in the grass @@SEP@@ @@13@@ that is in the grass @@SEP@@ @@14@@ that is in the grass @@SEP@@ @@15@@ that is in the grass @@SEP@@ @@16@@ that is in the grass @@SEP@@ @@17@@ that is in the grass @@SEP@@ @@18@@ that is in the grass @@SEP@@ @@19@@ that is in the grass @@SEP@@ @@20@@ that is in the grass @@SEP@@ @@21@@ that is in the grass @@SEP@@ @@22@@ that is in the grass @@SEP@@ @@23@@ that is in the grass @@SEP@@ @@24@@ that is in the grass @@SEP@@ @@25@@ that is in the grass @@SEP@@ @@26@@ that is in the grass @@SEP@@ @@27@@ that is in the grass @@SEP@@ @@28@@ that is in the grass @@SEP@@ @@29@@ that is in the grass @@SEP@@ @@30@@ that is in the grass @@SEP@@ @@31@@ that is in the grass @@SEP@@ @@32@@ that is in the grass @@SEP@@ @@33@@ that is in the grass @@SEP@@ @@34@@ that is in the grass @@SEP@@ @@35@@ that is in the grass @@SEP@@ @@36@@ that is in the grass @@SEP@@ @@37@@ that is in the grass @@SEP@@ @@38@@ that is in the grass @@SEP@@ @@39@@ that is in the grass @@SEP@@ @@40@@ that is in the grass @@SEP@@ @@41@@ that is in the grass @@SEP@@ @@42@@ that is in the grass @@SEP@@ @@43@@ that is in the grass @@SEP@@ @@44@@ that is in the grass @@SEP@@ @@45@@ that is in the grass @@SEP@@ @@46@@ that is in the grass @@SEP@@ @@47@@ that is in the grass @@SEP@@ @@48@@ that is in the grass @@SEP@@ @@49@@ that is in the grass @@SEP@@ @@50@@ that is in the grass @@SEP@@ @@51@@ that is in the grass @@SEP@@ @@52@@ that is in the grass @@SEP@@ @@53@@ that is in the grass @@SEP@@ @@54@@ that is in the grass @@SEP@@ @@55@@ that is in the grass @@SEP@@ @@56@@ that is in the grass @@SEP@@ @@57@@ that is in the grass @@SEP@@ @@58@@ that is in the grass @@SEP@@ #	If there is a single panda sitting in the grass in the image on the left.
0.0	right image @@SEP@@ left image @@SEP@@ animals of @@1@@ @@SEP@@ animals of @@2@@ @@SEP@@ the number of @@3@@ @@SEP@@ the number of @@4@@ @@SEP@@ if @@5@@ is higher than @@6@@	NLVR2_train_train-13014-1-1	True	right image @@SEP@@ left image @@SEP@@ animals of @@1@@ @@SEP@@ animals of @@2@@ @@SEP@@ the number of @@3@@ @@SEP@@ the number of @@4@@ @@SEP@@ if @@5@@ is higher than @@6@@	If there are more animals in the image on the right than in the image on the left.
0.7796296296296298	movies @@SEP@@ @@1@@ with rating R @@SEP@@ titles of @@2@@	SPIDER_train_2973	False	films @@SEP@@ @@1@@ that have an R rating @@SEP@@ @@1@@ that have an R rating @@SEP@@ @@2@@, @@3@@ @@SEP@@ @@4@@ that have an R rating @@SEP@@ @@4@@ besides @@5@@ @@SEP@@ titles of @@6@@	Return the titles of any movies with an R rating.
0.018181818181818188	flights @@SEP@@ @@1@@ on united airlines @@SEP@@ @@2@@ that go through denver	ATIS_train_623	True	flights @@SEP@@ @@1@@ on united airlines @@SEP@@ @@2@@ going through denver	which united airlines flights go through denver 
0.45	artists @@SEP@@ @@1@@ who nominated for Khloe & Lamar @@SEP@@ years that @@2@@ play for the Clippers	CWQ_train_WebQTrn-1689_a3b28063f6e86f074de64b6e1260fcfe	False	the Khloe & Lamar award @@SEP@@ years of @@1@@ @@SEP@@ @@2@@ in 1996	In what years did the artist nominated for the Khloe & Lamar award play for the Clippers?
0.0	flights @@SEP@@ @@1@@ on northwest @@SEP@@ @@2@@ with stops in denver	ATIS_train_2081	True	flights @@SEP@@ @@1@@ on northwest @@SEP@@ @@2@@ with stops in denver	northwest flights with stops in denver 
0.6574074074074074	small objects @@SEP@@ big things @@SEP@@ material of @@1@@ @@SEP@@ material of @@2@@ @@SEP@@ is @@3@@ the same as @@4@@	CLEVR_train_3058	False	objects @@SEP@@ @@1@@ that are small @@SEP@@ the materials that @@2@@ are made of @@SEP@@ if the two @@3@@ are the same	Are the small objects the same material as the big things?
0.016666666666666663	back-to-back wins @@SEP@@ @@1@@ of the Warrior @@SEP@@ @@1@@ of the Utah Jazz @@SEP@@ number of @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ which is highest of @@4@@ , @@5@@	DROP_train_history_2582_ab89f351-b8f4-4c3a-98f8-637bf6ec0779	True	back-to-back wins @@SEP@@ @@1@@ of the Warriors @@SEP@@ @@1@@ of the Utah Jazz @@SEP@@ number of @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ which is highest of @@4@@, @@5@@	Which team had more back-to-back wins, the Warrior or the Utah Jazz?
0.06666666666666667	flights @@SEP@@ @@1@@ from dallas @@SEP@@ @@2@@ to baltimore @@SEP@@ @@3@@ on august third @@SEP@@ @@4@@ that are available	ATIS_train_1941	False	flights @@SEP@@ @@1@@ from dallas @@SEP@@ @@2@@ to baltimore @@SEP@@ @@3@@ with economy fares @@SEP@@ @@4@@ that are available	show me the flights available from dallas to baltimore august third 
0.7205128205128205	objects @@SEP@@ @@1@@ that are metallic @@SEP@@ @@1@@ besides @@2@@ @@SEP@@ number of @@3@@	CLEVR_train_17638	False	the objects @@SEP@@ the number of objects @@SEP@@ the number of objects that are metallic @@SEP@@ the number of objects that are not metallic	how many objects are left if all the metallic ones are removed?
0.6349206349206349	the left photo @@SEP@@ cups in @@1@@ @@SEP@@ dessert @@SEP@@ @@2@@ full of @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is equal to two	NLVR2_train_train-11645-0-0	False	left photo @@SEP@@ cups of dessert in @@1@@ @@SEP@@ number of @@2@@ @@SEP@@ if @@1@@ have @@3@@ full	If the left photo contains two cups full of dessert.
