question_id,question_text,decomposition,split
NLVR2_train_train-11100-3-0,If the left and right image contains the same number of combat golf balls.,return left image ;return right image ;return combat golf balls in  #1 ;return combat golf balls in  #2 ;return number of #3 ;return number of #4 ;return if  #5 is equal to  #6,train
ATIS_train_1873,show me all all flights from pittsburgh to atlanta on wednesday which leave before noon and serve breakfast ,return flights ;return #1 from pittsburgh ;return #2 to  atlanta ;return #3 on wednesday ;return #4 that  leave before noon ;return #5 which  serve breakfast,train
CLEVR_train_7357,How many pyramid shapes are there?,return pyramid shapes ;return number of #1,train
CLEVR_train_3402,What object is in the back of the frame?,return objects ;return #1 that  is  in the  back of the frame,train
NLVR2_train_train-4192-0-0,If there is a single panda sitting in the grass in the image on the left.,return image on the  left ;return pandas in  #1 ;return the  grass ;return #2 sitting in  #3 ;return number of #4 ;return if  #5 is  equal to one,train
NLVR2_train_train-13014-1-1,If there are more animals in the image on the right than in the image on the left.,return right image  ;return left image  ;return animals of #1 ;return animals of #2 ;return the  number of  #3 ;return the  number of  #4 ;return if  #5 is higher than #6,train
SPIDER_train_2973,Return the titles of any movies with an R rating.,return movies ;return #1 with  rating R ;return titles of  #2,train
ATIS_train_623,which united airlines flights go through denver ,return flights ;return #1 on united airlines ;return #2 that  go through denver,train
CWQ_train_WebQTrn-1689_a3b28063f6e86f074de64b6e1260fcfe,In what years did the artist nominated for the Khloe & Lamar award play for the Clippers?,return artists ;return #1 who  nominated for Khloe & Lamar ;return years that #2 play for the  Clippers,train
ATIS_train_2081,northwest flights with stops in denver ,return flights ;return #1 on northwest ;return #2 with stops in  denver,train
CLEVR_train_3058,Are the small objects the same material as the big things?,return small objects ;return big things ;return material of #1 ;return material of #2 ;return is  #3 the   same as #4,train
DROP_train_history_2582_ab89f351-b8f4-4c3a-98f8-637bf6ec0779,"Which team had more back-to-back wins, the Warrior or the Utah Jazz?","return back-to-back wins ;return #1 of the  Warrior ;return #1 of the  Utah Jazz ;return number of  #2 ;return number of  #3 ;return which is highest of #4 ,  #5",train
ATIS_train_1941,show me the flights available from dallas to baltimore august third ,return flights ;return #1 from  dallas ;return #2 to baltimore ;return #3 on  august third ;return #4 that  are available,train
CLEVR_train_17638,how many objects are left if all the metallic ones are removed?,return objects ;return #1 that are metallic ;return #1 besides  #2 ;return number of  #3,train
NLVR2_train_train-11645-0-0,If the left photo contains two cups full of dessert.,return the  left photo ;return cups in  #1 ;return dessert ;return #2 full of  #3 ;return number of #4 ;return if  #5 is  equal to two,train
DROP_train_history_942_c1f36498-a5e3-491e-a47b-5fb9bddd4e51,"How many more households had females with no husband present compared to a male with no wife present, by percent?",return households ;return #1 with females ;return #2 with husband ;return #2 besides  #3 ;return #1 with males ;return #5 with wife ;return #5 besides  #6 ;return percent of #4 ;return percent of #7 ;return difference of #8 and  #9,train
CLEVR_train_3186,Are any of the balls gray?,return balls ;return #1 that Are gray ;return number of  #2 ;return if #3 is  higher than zero,train
DROP_train_nfl_2736_dcc41067-e26d-4796-a7b4-d5f5523ae548,How many points were scored on the Chargers first possession?,return the  Chargers ;return possessions of #1 ;return first of #2 ;return points scored on #3 ;return sum of #4,train
NLVR2_train_train-8176-0-1,If the left and right image contains the same number of staircase with wooden and metal s shaped rails.,return staircases ;return rails of #1 ;return #2 that are s shaped ;return #3 that are wooden and metal ;return #1 that has #4 ;return left image ;return right image ;return #5 that are in  #6 ;return #5 that are in  #7 ;return number of #8 ;return number of #9 ;return if  #10 is equal to  #11,train
ATIS_train_1086,please show me all the flights from indianapolis to san diego tomorrow ,return flights ;return #1 from  indianapolis ;return #2 tomorrows san diego ;return #3 that  is  tomorrow,train
NLVR2_train_train-7978-3-0,"If in the image to the right, one of the flasks holds a yellow liquid.",return right image ;return flasks in  #1 ;return liquid ;return #3 that is  yellow ;return #2 that holds #4 ;return number of #5 ;return If #6 is  equal to one,train
NLVR2_train_train-218-2-0,If an image includes an item of silverware and a clear unlidded glass jar containing a creamy pale yellow substance.,return silverware ;return item of #1 ;return image of #2 ;return jar ;return #4 that is glass ;return #5 that is unlidded ;return #6 that is clear ;return substance ;return #8 that is yellow ;return #9 that is pale ;return #10 that is creamy ;return #7 that is containing #11 ;return if  #12 is in  #3,train
COMQA_train_cluster-2238-1,who was johnny maestro's first wife?,return johnny maestro ;return wives of #1 ;return the  first of #2,train
CLEVR_train_14374,What shape is between the large sphere and the large cylinder?,return sphere ;return #1 that is large  ;return cylinder ;return #3 that is large  ;return shapes ;return #5 that is between #2 and  #4,train
SPIDER_train_5580,"Find the product category description of the product category with code ""Spices"".",return product categories ;return codes of  #1 ;return #1 where  #2 is  Spices ;return description of  #3,train
COMQA_train_cluster-2051-1,what is the biggest state texas or alaska?,"return texas ;return alaska ;return size of #1 ;return size of #2 ;return which is the  highest of #3 , #4",train
ATIS_train_873,afternoon flights from boston to san francisco please that leave in the afternoon ,return afternoon flights from  boston ;return #1 to  san francisco ;return #2 that  leave in afternoon,train
CLEVR_train_10070,what is the material of the object farthest to the right?,return object ;return #1 that is farthest to the  right ;return material of #2,train
SPIDER_train_1174,How many elections are there?,return elections ;return number of #1,train
DROP_train_nfl_396_a56197fe-e871-4b3f-a279-8e49ca4ece63,How many yards was the second shortest touchdown pass?,return touchdown passes ;return yards of #1 ;return shortest of #2 ;return #2 besides  #3 ;return shortest of #4,train
NLVR2_train_train-8050-1-0,If there is a diver looking at a seal underwater,return diver ;return a  seal ;return #1 looking at #2 ;return if  #3 is underwater,train
NLVR2_train_train-3819-1-0,If each image shows one round red balloon and one round green balloon side by side,return balloon  ;return #1 that is round ;return #2 that is red ;return #2 that is green ;return #3 that is side by side  with #4 ;return images of #5 ;return number of  #5 for each  #6 ;return #6 where  #7 is equal to  one ;return number of  #8 ;return images ;return number of  #10 ;return if  #9 is equal to  #11,train
DROP_train_history_709_930d511c-9550-440a-b6b6-4776ba1cb21c,Which volume of The Fear and Loathing Letters covered the shortet time span?,return The Fear and  Loathing Letters ;return volumes of #1 ;return covered time spans of #2 ;return how short are #3 ;return #2 where #4 is the  lowest,train
SPIDER_train_6220,How many different captain ranks are there?,return ranks ;return #1 that  are  captain ;return different #2 ;return number of  #3,train
COMQA_train_cluster-624-3,what networking protocol was first used by novell and is not supported by the internet?,return networking protocol ;return novell ;return #1 that was  first used by  #2 ;return the  internet ;return #3 that is not supported by  #4,train
DROP_train_nfl_1246_df551e80-7702-4651-907b-26ae028e1376,How many yards difference is there between the two longest field goals?,return field goals ;return yards of #1 ;return the  two longest of #2 ;return the  difference of #3,train
NLVR2_train_train-9287-3-0,If eight compression socks with knee pads are visible.,return compression socks ;return knee pads ;return #1 with #2 ;return the  number of  #3 ;return if  #4 is equal to  eight,train
DROP_train_nfl_96_aec6f27a-b609-4cf3-9488-0be8a639e5c4,How many different receivers did Carson Palmer pass to for a touchdown?,return Carson Palmer ;return touchdown passes of #1 ;return different receivers of #2 ;return number of  #3,train
SPIDER_train_1747,Return the names of the gymnasts.,return gymnasts ;return names of  #1,train
DROP_train_nfl_2187_2f6a0977-1a59-4550-a72a-703e4f866ed5,How many successful field goals did Prater kick?,return Prater ;return successful field goals of #1 ;return number of  #2,train
NLVR2_train_train-253-3-1,If 3 canoes are stacked on a platform,return canoes ;return platform ;return #1 stacked on #2 ;return number of  #3 ;return if  #4 is equal to  3,train
ATIS_train_2765,okay what flights are there us air from orlando to cleveland leaving in the afternoon ,return flights ;return #1 on us air ;return #2 from orlando ;return #3 to  cleveland ;return #4 leaving in the  afternoon,train
CLEVR_train_3739,Are more than a thrid of the objects blue?,return objects ;return #1 that are blue ;return number of  #1 ;return number of  #2 ;return thrid of #3 ;return is #4 higher than #5,train
CLEVR_train_8494,Is there a cylinder and cube that are made of the same material?,return cylinders ;return materials of #1 ;return cylinders ;return materials of #3 ;return if  any  #4 and  #2 are made of the same material,train
ATIS_train_4232,on the earliest flight from san francisco to atlanta on delta is a meal being served ,return flights ;return #1 on delta ;return #2 from  san francisco ;return #3 to atlanta ;return when  are #4 ;return #4 where #5 is the  lowest ;return if #6 has a meal,train
CLEVR_train_4096,How many spheres are present?,return spheres ;return number of #1,train
CLEVR_train_10383,how many cylinders are not gray or green?,return cylinders ;return #1 that  are gray ;return #1 that  are green ;return #1 besides #2 ;return #1 besides #3 ;return #1 in both #4 and  #5 ;return number of #6,train
CLEVR_train_7594,What shape is the furthest back?,return shape ;return #1 that  is  furthest back,train
NLVR2_train_train-10896-1-0,If one hyena is lying on the ground with a baby near it in the image on the right.,return the  image on the   right ;return hyena in  #1 ;return the  ground in  #1 ;return #2 that is a  baby ;return #2 lying on #3 ;return #5 with #4 near it ;return number of  #6 ;return if  #7 is equal to  one,train
COMQA_train_cluster-3580-1,what movies has anthony hopkins appeared in?,return anthony hopkins ;return movies of #1,train
COMQA_train_cluster-3955-1,what was stevie wonder's first song that he wrote?,return stevie wonder ;return songs of #1 ;return #2 that #1 wrote ;return the  first of #3,train
CLEVR_train_2393,Are there more shiny objects than there are big things?,return shiny objects ;return big things ;return number of  #1 ;return number of  #2 ;return is  #3 higher than #4,train
CLEVR_train_6739,What color is the thing that is to the left of the red cylinder that is not shiny and can roll?,return the   red cylinder ;return things ;return #2 that  are to  the   left of #1 ;return #3 that  can roll ;return #4 that  are shiny ;return #4 besides #5 ;return the   color of #6,train
SPIDER_train_4758,Return the names and ids of customers who have TN in their address.,"return customers ;return addresses of #1 ;return #1 where #2 has TN ;return names of #3 ;return ids of #3 ;return #4 ,  #5",train
NLVR2_train_train-11548-1-1,If both images have pink lemonade in glass dishes.,return lemonade ;return #1 that is pink ;return dishes ;return #3 that are glass ;return #2 in  #4 ;return if  #5 is in  both  images,train
DROP_train_nfl_57_e9abc20e-d56d-48d3-b5c0-70cad5e65b11,How many points were the Bills trailing by at halftime?,return the  Bills ;return points trailing by of #1 ;return #2 at halftime,train
CLEVR_train_15593,are there more spheres or cubes in the image,"return spheres ;return cubes ;return number of #1 ;return number of #2 ;return which is  highest of #3 ,   #4",train
NLVR2_train_train-3792-1-0,If any cups in the left image are solid white and any cups in the right image are not solid white.,return the  left image  ;return cups in  #1 ;return #2 that are solid  white  ;return number of  #3 ;return if  #4 is at least one ;return the  right image  ;return cups in  #6 ;return #7 that are solid  white  ;return #7 besides  #8 ;return number of  #9 ;return if  #10 is at least one ;return if  both  #5 and #11 are true,train
CLEVR_train_15011,What is the shape of the large blue object on the far left?,return blue object ;return #1 that  is  large ;return #2 on  the far left ;return shape of #3,train
COMQA_train_cluster-661-4,siblings of chris brown?,return chris brown ;return siblings of #1,train
SPIDER_train_688,What are the full names of customers who have accounts?,return customers ;return #1 who  have  accounts ;return full names of  #2,train
NLVR2_train_train-11127-0-1,If the left image features one golden and one black colored labrador while the right image contains two chocolate or black lab puppies.,"return the  left image  ;return labradors in  #1 ;return color of #2 ;return #2 where  #3 is golden ;return #2 where  #3 is black ;return number of  #4 ;return number of  #5 ;return if  #6 is equal to  one ;return if  #7 is equal to  one ;return if  both  #8 and #9 are true ;return the  right image  ;return labradors in  #11 ;return #12 that are puppies ;return color of #13 ;return #13 where  #14 is chocolate ;return #13 where  #14 is black ;return #15 , #16 ;return number of  #17 ;return if  #18 is equal to  two ;return if  both  #10 and #19 are true",train
DROP_train_nfl_1440_df4f0270-686c-47cd-9dca-3b5b6a34267c,How many games did the Broncos lose before playing the Giants?,return the  Broncos ;return games lost of #1 ;return #2 before playing the  Giants,train
NLVR2_train_train-1476-0-0,If at least one musician is playing the flute.,return musician ;return flute ;return #1 playing #2 ;return the  number of  #3 ;return if  #4 is at least one,train
NLVR2_train_train-9990-2-0,"If each image shows a single forward-turned ferret, and at least one ferret has solid-white fur.",return images ;return ferrets in  #1 ;return #2 that are forward-turned ;return number of  #3 for each  #1 ;return #1 where  #4 is equal to  one ;return number of  #5 ;return number of  #1 ;return if  #6 is equal to  #7 ;return fur of #2 ;return #2 where  #9 is solid-white ;return number of  #10 ;return if  #11 is at least one ;return if  both  #8 and #12 are true,train
NLVR2_train_train-6333-3-1,If the right image shows an opened flip phone.,return right image ;return flip phone in  #1 ;return #2 that is opened ;return number of  #3 ;return if  #4 is at least one,train
CLEVR_train_3812,What color is the object behind the brown thing and the same shape as the object next to the green rubber cube?,return thing ;return #1 that  is  brown ;return cube ;return #3 that  is  green ;return #4 that  is  rubber ;return object  ;return #6 that  is  next to  #5 ;return shape of #7 ;return #6 behind #2 ;return #7 where shape is  same as #8 ;return color of #10,train
ATIS_train_2176,what is the cheapest way to travel round trip from milwaukee to san francisco ,return flights ;return #1 from milwaukee ;return #2 to  san francisco ;return #3 that  are round trip ;return price of #4 ;return #4 where #5 is  lowest,train
COMQA_train_cluster-1243-1,what is the capital and largest city in syria?,return syria ;return cities of #1 ;return #2 that is the  capital ;return size of #2 ;return #2 where  #4 is highest ;return city in  both  #3 and #5,train
CLEVR_train_6808,What color is the matte object located to the left of the gold cube?,return objects ;return #1 that  are matte ;return cubes ;return #3 that  are gold ;return #2 that  are to  the   left of #4 ;return color of #5,train
