ged	gold	id	normalized_exact_match	prediction	question
0.4146520146520147	left image @@SEP@@ right image @@SEP@@ combat golf balls in @@1@@ @@SEP@@ combat golf balls in @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is equal to @@6@@	NLVR2_train_train-11100-3-0	False	the left image @@SEP@@ the right image @@SEP@@ number of @@1@@ @@SEP@@ number of @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ sum of @@5@@ and @@6@@ @@SEP@@ if @@7@@ is equal to combat @@SEP@@ if both @@4@@ and @@8@@ are true	If the left and right image contains the same number of combat golf balls.
0.24646464646464647	flights @@SEP@@ @@1@@ from pittsburgh @@SEP@@ @@2@@ to atlanta @@SEP@@ @@3@@ on wednesday @@SEP@@ @@4@@ that leave before noon @@SEP@@ @@5@@ which serve breakfast	ATIS_train_1873	False	flights @@SEP@@ @@1@@ from pittsburgh @@SEP@@ @@2@@ to atlanta @@SEP@@ @@3@@ on wednesday morning @@SEP@@ @@4@@ serving breakfast	show me all all flights from pittsburgh to atlanta on wednesday which leave before noon and serve breakfast 
0.5111111111111112	pyramid shapes @@SEP@@ number of @@1@@	CLEVR_train_7357	False	shapes @@SEP@@ number of pyramid shapes	How many pyramid shapes are there?
0.4352941176470589	objects @@SEP@@ @@1@@ that is in the back of the frame	CLEVR_train_3402	False	objects @@SEP@@ @@1@@ that is in the back @@SEP@@ object of @@2@@	What object is in the back of the frame?
0.5526695526695526	image on the left @@SEP@@ pandas in @@1@@ @@SEP@@ the grass @@SEP@@ @@2@@ sitting in @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is equal to one	NLVR2_train_train-4192-0-0	False	panda @@SEP@@ a grass @@SEP@@ @@1@@ in @@2@@ @@SEP@@ if @@3@@ is in the image on the left	If there is a single panda sitting in the grass in the image on the left.
0.3913863913863914	right image @@SEP@@ left image @@SEP@@ animals of @@1@@ @@SEP@@ animals of @@2@@ @@SEP@@ the number of @@3@@ @@SEP@@ the number of @@4@@ @@SEP@@ if @@5@@ is higher than @@6@@	NLVR2_train_train-13014-1-1	False	right image @@SEP@@ animals in @@1@@ @@SEP@@ number of @@2@@ @@SEP@@ if @@3@@ is at least two @@SEP@@ left image @@SEP@@ animals in @@4@@ @@SEP@@ if @@5@@ is higher than @@6@@	If there are more animals in the image on the right than in the image on the left.
0.12222222222222223	movies @@SEP@@ @@1@@ with rating R @@SEP@@ titles of @@2@@	SPIDER_train_2973	False	movies @@SEP@@ @@1@@ that have an R rating @@SEP@@ the titles of @@2@@	Return the titles of any movies with an R rating.
0.0	flights @@SEP@@ @@1@@ on united airlines @@SEP@@ @@2@@ that go through denver	ATIS_train_623	True	flights @@SEP@@ @@1@@ on united airlines @@SEP@@ @@2@@ that go through denver	which united airlines flights go through denver 
0.5935897435897436	artists @@SEP@@ @@1@@ who nominated for Khloe & Lamar @@SEP@@ years that @@2@@ play for the Clippers	CWQ_train_WebQTrn-1689_a3b28063f6e86f074de64b6e1260fcfe	False	the jonas brothers @@SEP@@ years played for the Clippers @@SEP@@ who nominated for @@2@@	In what years did the artist nominated for the Khloe & Lamar award play for the Clippers?
0.14358974358974358	flights @@SEP@@ @@1@@ on northwest @@SEP@@ @@2@@ with stops in denver	ATIS_train_2081	False	flights @@SEP@@ @@1@@ that are northwest @@SEP@@ @@2@@ that have stopover in denver	northwest flights with stops in denver 
0.5527210884353742	small objects @@SEP@@ big things @@SEP@@ material of @@1@@ @@SEP@@ material of @@2@@ @@SEP@@ is @@3@@ the same as @@4@@	CLEVR_train_3058	False	the small things @@SEP@@ the big things @@SEP@@ materials of @@1@@ @@SEP@@ materials of @@2@@ @@SEP@@ the same as @@3@@ @@SEP@@ the same as @@4@@ @@SEP@@ the same as @@5@@ @@SEP@@ the same as @@6@@	Are the small objects the same material as the big things?
