id	question	gold	prediction	ged	normalized_exact_match
NLVR2_train_train-11100-3-0	If the left and right image contains the same number of combat golf balls.	left image @@SEP@@ right image @@SEP@@ combat golf balls in @@1@@ @@SEP@@ combat golf balls in @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is equal to @@6@@	the left image @@SEP@@ the right image @@SEP@@ number of @@1@@ @@SEP@@ number of @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ sum of @@5@@ and @@6@@ @@SEP@@ if @@7@@ is equal to combat @@SEP@@ if both @@4@@ and @@8@@ are true	0.4146520146520147	False
ATIS_train_1873	show me all all flights from pittsburgh to atlanta on wednesday which leave before noon and serve breakfast 	flights @@SEP@@ @@1@@ from pittsburgh @@SEP@@ @@2@@ to atlanta @@SEP@@ @@3@@ on wednesday @@SEP@@ @@4@@ that leave before noon @@SEP@@ @@5@@ which serve breakfast	flights @@SEP@@ @@1@@ from pittsburgh @@SEP@@ @@2@@ to atlanta @@SEP@@ @@3@@ on wednesday morning @@SEP@@ @@4@@ serving breakfast	0.24646464646464647	False
CLEVR_train_7357	How many pyramid shapes are there?	pyramid shapes @@SEP@@ number of @@1@@	shapes @@SEP@@ number of pyramid shapes	0.5111111111111112	False
CLEVR_train_3402	What object is in the back of the frame?	objects @@SEP@@ @@1@@ that is in the back of the frame	objects @@SEP@@ @@1@@ that is in the back @@SEP@@ object of @@2@@	0.4352941176470589	False
NLVR2_train_train-4192-0-0	If there is a single panda sitting in the grass in the image on the left.	image on the left @@SEP@@ pandas in @@1@@ @@SEP@@ the grass @@SEP@@ @@2@@ sitting in @@3@@ @@SEP@@ number of @@4@@ @@SEP@@ if @@5@@ is equal to one	panda @@SEP@@ a grass @@SEP@@ @@1@@ in @@2@@ @@SEP@@ if @@3@@ is in the image on the left	0.5526695526695526	False
NLVR2_train_train-13014-1-1	If there are more animals in the image on the right than in the image on the left.	right image @@SEP@@ left image @@SEP@@ animals of @@1@@ @@SEP@@ animals of @@2@@ @@SEP@@ the number of @@3@@ @@SEP@@ the number of @@4@@ @@SEP@@ if @@5@@ is higher than @@6@@	right image @@SEP@@ animals in @@1@@ @@SEP@@ number of @@2@@ @@SEP@@ if @@3@@ is at least two @@SEP@@ left image @@SEP@@ animals in @@4@@ @@SEP@@ if @@5@@ is higher than @@6@@	0.3913863913863914	False
SPIDER_train_2973	Return the titles of any movies with an R rating.	movies @@SEP@@ @@1@@ with rating R @@SEP@@ titles of @@2@@	movies @@SEP@@ @@1@@ that have an R rating @@SEP@@ the titles of @@2@@	0.12222222222222223	False
ATIS_train_623	which united airlines flights go through denver 	flights @@SEP@@ @@1@@ on united airlines @@SEP@@ @@2@@ that go through denver	flights @@SEP@@ @@1@@ on united airlines @@SEP@@ @@2@@ that go through denver	0.0	True
CWQ_train_WebQTrn-1689_a3b28063f6e86f074de64b6e1260fcfe	In what years did the artist nominated for the Khloe & Lamar award play for the Clippers?	artists @@SEP@@ @@1@@ who nominated for Khloe & Lamar @@SEP@@ years that @@2@@ play for the Clippers	the jonas brothers @@SEP@@ years played for the Clippers @@SEP@@ who nominated for @@2@@	0.5935897435897436	False
ATIS_train_2081	northwest flights with stops in denver 	flights @@SEP@@ @@1@@ on northwest @@SEP@@ @@2@@ with stops in denver	flights @@SEP@@ @@1@@ that are northwest @@SEP@@ @@2@@ that have stopover in denver	0.14358974358974358	False
